Синоптический индекс станции,year,month,day,hour,Общее количество облачности,Количество облачности нижнего яруса,HLC,Форма облаков среднего яруса,Форма облаков вертикального развития,Слоистые и слоисто-кучевые облака,Слоисто-дождевые облака,Погода между сроками,Погода в срок наблюдения,date,timestamp,datetime
29430,2010,1,16,21,10,0,1,2,0,0,0,7,71.0,2010-01-16 21:00:00,1263675600,2010-01-16 21:00:00
29430,2010,1,17,0,10,0,1,2,0,0,0,7,2.0,2010-01-17 00:00:00,1263686400,2010-01-17 00:00:00
29430,2010,1,17,3,3,0,1,0,0,0,0,1,2.0,2010-01-17 03:00:00,1263697200,2010-01-17 03:00:00
29430,2010,1,17,6,0,0,0,0,0,0,0,1,2.0,2010-01-17 06:00:00,1263708000,2010-01-17 06:00:00
29430,2010,1,17,9,0,0,0,0,0,0,0,0,2.0,2010-01-17 09:00:00,1263718800,2010-01-17 09:00:00
29430,2010,1,17,12,0,0,0,0,0,0,0,0,2.0,2010-01-17 12:00:00,1263729600,2010-01-17 12:00:00
29430,2010,1,17,15,0,0,0,0,0,0,0,0,2.0,2010-01-17 15:00:00,1263740400,2010-01-17 15:00:00
29430,2010,1,17,18,0,0,0,0,0,0,0,0,2.0,2010-01-17 18:00:00,1263751200,2010-01-17 18:00:00
29430,2010,1,17,21,0,0,0,0,0,0,0,0,2.0,2010-01-17 21:00:00,1263762000,2010-01-17 21:00:00
29430,2010,1,18,0,0,0,0,0,0,0,0,0,2.0,2010-01-18 00:00:00,1263772800,2010-01-18 00:00:00
29430,2010,1,18,3,0,0,0,0,0,0,0,0,4.0,2010-01-18 03:00:00,1263783600,2010-01-18 03:00:00
29430,2010,1,18,6,0,0,0,0,0,0,0,0,76.0,2010-01-18 06:00:00,1263794400,2010-01-18 06:00:00
29430,2010,1,18,9,0,0,0,0,0,0,0,0,2.0,2010-01-18 09:00:00,1263805200,2010-01-18 09:00:00
29430,2010,1,18,12,0,0,0,0,0,0,0,0,2.0,2010-01-18 12:00:00,1263816000,2010-01-18 12:00:00
29430,2010,1,18,15,0,0,0,0,0,0,0,0,2.0,2010-01-18 15:00:00,1263826800,2010-01-18 15:00:00
29430,2010,1,18,18,0,0,0,0,0,0,0,0,2.0,2010-01-18 18:00:00,1263837600,2010-01-18 18:00:00
29430,2010,1,18,21,0,0,0,0,0,0,0,0,2.0,2010-01-18 21:00:00,1263848400,2010-01-18 21:00:00
29430,2010,1,19,0,0,0,0,0,0,0,0,0,2.0,2010-01-19 00:00:00,1263859200,2010-01-19 00:00:00
29430,2010,1,19,9,9,0,0,1,0,0,0,2,2.0,2010-01-19 09:00:00,1263891600,2010-01-19 09:00:00
29430,2010,1,19,12,0,0,0,0,0,0,0,1,2.0,2010-01-19 12:00:00,1263902400,2010-01-19 12:00:00
29430,2010,1,19,15,6,0,0,1,0,0,0,1,2.0,2010-01-19 15:00:00,1263913200,2010-01-19 15:00:00
29430,2010,1,19,21,0,0,0,0,0,0,0,1,2.0,2010-01-19 21:00:00,1263934800,2010-01-19 21:00:00
29430,2010,1,20,0,2,0,1,0,0,0,0,1,2.0,2010-01-20 00:00:00,1263945600,2010-01-20 00:00:00
29430,2010,1,20,3,10,0,1,0,0,0,0,1,2.0,2010-01-20 03:00:00,1263956400,2010-01-20 03:00:00
29430,2010,1,20,6,10,0,1,0,0,0,0,1,2.0,2010-01-20 06:00:00,1263967200,2010-01-20 06:00:00
29430,2010,1,20,9,10,0,1,0,0,0,0,2,2.0,2010-01-20 09:00:00,1263978000,2010-01-20 09:00:00
29430,2010,1,20,12,10,0,1,0,0,0,0,2,2.0,2010-01-20 12:00:00,1263988800,2010-01-20 12:00:00
29430,2010,1,20,15,10,0,1,0,0,0,0,2,2.0,2010-01-20 15:00:00,1263999600,2010-01-20 15:00:00
29430,2010,1,20,18,7,0,1,0,0,0,0,2,2.0,2010-01-20 18:00:00,1264010400,2010-01-20 18:00:00
29430,2010,1,20,21,0,0,0,0,0,0,0,1,2.0,2010-01-20 21:00:00,1264021200,2010-01-20 21:00:00
29430,2010,1,21,0,0,0,0,0,0,0,0,1,2.0,2010-01-21 00:00:00,1264032000,2010-01-21 00:00:00
29430,2010,1,21,3,0,0,0,0,0,0,0,0,2.0,2010-01-21 03:00:00,1264042800,2010-01-21 03:00:00
29430,2010,1,21,6,0,0,0,0,0,0,0,0,2.0,2010-01-21 06:00:00,1264053600,2010-01-21 06:00:00
29430,2010,1,21,9,10,0,1,0,0,0,0,1,2.0,2010-01-21 09:00:00,1264064400,2010-01-21 09:00:00
29430,2010,1,21,12,0,0,0,0,0,0,0,1,2.0,2010-01-21 12:00:00,1264075200,2010-01-21 12:00:00
29430,2010,1,21,15,0,0,0,0,0,0,0,0,2.0,2010-01-21 15:00:00,1264086000,2010-01-21 15:00:00
29430,2010,1,21,18,0,0,0,0,0,0,0,0,2.0,2010-01-21 18:00:00,1264096800,2010-01-21 18:00:00
29430,2010,1,21,21,0,0,0,0,0,0,0,0,2.0,2010-01-21 21:00:00,1264107600,2010-01-21 21:00:00
29430,2010,1,22,0,0,0,0,0,0,0,0,0,2.0,2010-01-22 00:00:00,1264118400,2010-01-22 00:00:00
29430,2010,1,22,3,0,0,0,0,0,0,0,0,2.0,2010-01-22 03:00:00,1264129200,2010-01-22 03:00:00
29430,2010,1,22,6,0,0,0,0,0,0,0,0,76.0,2010-01-22 06:00:00,1264140000,2010-01-22 06:00:00
29430,2010,1,22,9,0,0,0,0,0,0,0,0,2.0,2010-01-22 09:00:00,1264150800,2010-01-22 09:00:00
29430,2010,1,22,12,0,0,0,0,0,0,0,0,2.0,2010-01-22 12:00:00,1264161600,2010-01-22 12:00:00
29430,2010,1,22,15,0,0,0,0,0,0,0,0,2.0,2010-01-22 15:00:00,1264172400,2010-01-22 15:00:00
29430,2010,1,22,21,3,0,3,0,0,0,0,7,2.0,2010-01-22 21:00:00,1264194000,2010-01-22 21:00:00
29430,2010,1,23,0,5,0,3,0,0,0,0,7,2.0,2010-01-23 00:00:00,1264204800,2010-01-23 00:00:00
29430,2010,1,23,3,0,0,0,0,0,0,0,0,2.0,2010-01-23 03:00:00,1264215600,2010-01-23 03:00:00
29430,2010,1,23,6,0,0,0,0,0,0,0,0,2.0,2010-01-23 06:00:00,1264226400,2010-01-23 06:00:00
29430,2010,1,23,9,0,0,0,0,0,0,0,0,2.0,2010-01-23 09:00:00,1264237200,2010-01-23 09:00:00
29430,2010,1,23,12,4,0,0,1,0,0,0,0,2.0,2010-01-23 12:00:00,1264248000,2010-01-23 12:00:00
